match_key_raw,brand_voysen,matched_id,source,url_source
(롯데백화점)아삭한 경남 진영 햇 단감 2kg 특대과(8과내외),(롯데백화점)아삭한 경남 진영 햇 단감 2kg 특대과(8과내외),1013072,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=f369131800
(롯데백화점)아삭한 경남 진영 햇 단감 5kg 중대과(25과내외),(롯데백화점)아삭한 경남 진영 햇 단감 5kg 중대과(25과내외),1013073,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=f369131793
(롯데백화점)포슬포슬 카스테라 홍감자 5kg 대,(국내산) 파프리카 정품 특품 5kg 빨+노 특품 정품,1013035,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=e434698260
(루츠팜) 베트남 건목이버섯 100g 건조 목이버섯 흑목이버섯 장미표 목이버섯 Nam Meo black fungus,(루츠팜) 베트남 건목이버섯 100g 건조 목이버섯 흑목이버섯 장미표 목이버섯 Nam Meo black fungus,1013076,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=d841699230
(루츠팜) 필리핀 생오크라 500g 생 오크라 오쿠라 오크리,(나비골농협 ) 국내산 태양초 고추가루 500g (보통맛),1013050,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=c789855228
(리첼)릿첼 실리콘 이유식 스푼 2P세트 (케이스 포함),(리첼)릿첼 실리콘 이유식 스푼 2P세트 (케이스 포함),1013077,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=c727245053
(맘마밀)(리뉴얼) 요미요미 유기농주스 3종 125ml 48팩 종합과일/블루베리포도/사과포도케일,(맘마밀)(리뉴얼) 요미요미 유기농주스 3종 125ml 48팩 종합과일/블루베리포도/사과포도케일,1013078,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=b757464498
(맛딜)맛딜아삭아삭 진영 단감 10kg 특대 (45-48과 내외),(맛딜)맛딜아삭아삭 진영 단감 10kg 특대 (45-48과 내외),1013079,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=f368330114
(무농약) 버섯 2kg 새송이버섯 정품 특품 1박스,(무농약) 버섯 2kg 새송이버섯 정품 특품 1박스,1013087,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=c295099466
(미식한가) 국산 우엉 (굵은 반찬용) 4kg 생우엉,(미식한가) 국산 우엉 (굵은 반찬용) 4kg 생우엉,1013088,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=f281796537
(미식한가) 냉동 시래기 양구 DMZ 펀치볼 200g x 20봉,(미식한가) 냉동 시래기 양구 DMZ 펀치볼 200g x 20봉,1013089,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=e885036819
(미식한가) 못난이 미색 감홍 사과 (주스용/랜덤과) 9kg / 제철과일 / 햇사과,(미식한가) 못난이 미색 감홍 사과 (주스용/랜덤과) 9kg / 제철과일 / 햇사과,1013090,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=e774248322
(미식한가) 못난이 미색 감홍 사과 6kg (상품선택) / 제철과일 / 햇사과 (주스용/랜덤과),(미식한가) 못난이 미색 감홍 사과 6kg (상품선택) / 제철과일 / 햇사과 (주스용/랜덤과),1013091,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=e774247069
(밥선생)안성 고시히카리쌀 4kg 특등급 서안성농협 25년 햅쌀,(밥선생)안성 고시히카리쌀 4kg 특등급 서안성농협 25년 햅쌀,1013092,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=e802070891
(빅스쿠폰적용시 1포740원 최저가)한여름 복숭아맛 그대로 100% 복숭아 착즙 첫눈에반한 생생복숭아즙 30팩,(빅스쿠폰적용시 1포740원 최저가)한여름 복숭아맛 그대로 100% 복숭아 착즙 첫눈에반한 생생복숭아즙 30팩,1013097,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=d259376897
(사계절청년농부)농장 산지직송 싱싱한 로메인 상추 4kg,(미식한가) 국산 우엉 (굵은 반찬용) 4kg 생우엉,1013088,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=f241798672
(사계절청년농부)모듬쌈채소 7종(꽃상추 로메인 케일 치커리 등) 2kg,(사계절청년농부)모듬쌈채소 7종(꽃상추 로메인 케일 치커리 등) 2kg,1013098,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=f241798776
(산정마을)산정마을 싱싱한 국내산 브로콜리 4kg,(미식한가) 국산 우엉 (굵은 반찬용) 4kg 생우엉,1013088,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=c463208944
(산지직송) 파프리카 5kg 노랑 가정용 중과,(국내산) 파프리카 정품 특품 5kg 빨+노 특품 정품,1013035,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=c324618640
(산지직송) 파프리카 5kg 빨강+노랑 정품특대과 파프리카,(국내산) 파프리카 정품 특품 5kg 빨+노 특품 정품,1013035,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=c491306896
(산지특가) 오이 10kg 정품 특품 취청오이 10kg,(산지특가) 오이 10kg 정품 특품 취청오이 10kg,1013101,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=b700475890
(산지특가) 오이 취청오이 10kg 40~60과 내외 보통등급 오이 청오이 백오이 백다다기,(산지특가) 오이 취청오이 10kg 40~60과 내외 보통등급 오이 청오이 백오이 백다다기,1013102,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=c531121268
(산지특가) 오이 취청오이 오이 상 40과~60과 10kg 청오이 취청오이,(산지특가) 오이 취청오이 오이 상 40과~60과 10kg 청오이 취청오이,1013103,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=c294896729
(산해직송)국내 흙당근 3kg (특),(나비골농협) 국내산 청결 고추가루 3kg (보통맛) 국산 고춧가루,1013051,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=e303624338
(산해직송)국내 흙당근 5kg (상),(국내산) 파프리카 정품 특품 5kg 빨+노 특품 정품,1013035,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=e303636225
(삼촌밥먹자)의성에서 보내드리는 꿀당도 흠집사과(중) 4kg,(미식한가) 국산 우엉 (굵은 반찬용) 4kg 생우엉,1013088,auction_kr,http://itempage3.auction.co.kr/detailview.aspx?itemno=d676710232
